   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 2- 2	 9- 5	 0- 0	    10617.86	Ej Spelad	1.00	 1
 2- 2	 9- 6	 0- 0	     7078.57	Ej Spelad	1.00	 1
 2- 2	10- 4	 0- 0	     5308.93	Ej Spelad	1.00	 1
 2- 2	10- 5	 0- 0	     7078.57	Ej Spelad	1.00	 1
 2- 2	10- 7	 0- 0	     7078.57	Ej Spelad	1.00	 1
 2- 3	 0- 3	 0- 0	    12018.64	Ej Spelad	1.00	 1
 2- 3	 1- 2	 0- 0	     5463.02	Ej Spelad	1.00	 1
 2- 3	 1- 4	 0- 0	    12018.64	Ej Spelad	1.00	 1
 2- 3	 1- 5	 0- 0	     7511.65	Ej Spelad	1.00	 1
 2- 3	 2- 1	 0- 0	     5795.85	Ej Spelad	1.00	 1
 2- 3	 2- 6	 0- 0	    12018.64	Ej Spelad	1.00	 1
 2- 3	 2- 7	 0- 0	    10015.53	Ej Spelad	1.00	 1
 2- 3	 2- 8	 0- 0	    12018.64	Ej Spelad	1.00	 1
 2- 3	 4- 7	 0- 0	    12018.64	Ej Spelad	1.00	 1
 2- 3	 5- 7	 0- 0	    12018.64	Ej Spelad	1.00	 1
 2- 3	 7- 5	 0- 0	    12419.67	Ej Spelad	1.00	 1
 2- 3	 7- 6	 0- 0	    14489.62	Ej Spelad	1.00	 1
 2- 3	 8- 2	 0- 0	    14489.62	Ej Spelad	1.00	 1
 2- 4	 0- 3	 0- 0	    12018.64	Ej Spelad	1.00	 1
 2- 4	 2- 7	 0- 0	    10015.53	Ej Spelad	1.00	 1
 2- 4	 2- 8	 0- 0	    12018.64	Ej Spelad	1.00	 1
 2- 4	 4- 7	 0- 0	    12018.64	Ej Spelad	1.00	 1
 2- 4	 5- 7	 0- 0	    12018.64	Ej Spelad	1.00	 1
 2- 4	 7- 5	 0- 0	    12419.67	Ej Spelad	1.00	 1
 2- 4	 7- 6	 0- 0	    14489.62	Ej Spelad	1.00	 1
 2- 4	 8- 2	 0- 0	    14489.62	Ej Spelad	1.00	 1
 2- 5	 0- 3	 0- 0	     9443.21	Ej Spelad	1.00	 1
 2- 5	 1- 5	 0- 0	     5902.01	Ej Spelad	1.00	 1
 2- 5	 2- 7	 0- 0	     7869.35	Ej Spelad	1.00	 1
 2- 5	 2- 8	 0- 0	     9443.21	Ej Spelad	1.00	 1
 2- 5	 3- 0	 0- 0	    13661.64	Ej Spelad	1.00	 1
 2- 5	 3- 7	 0- 0	    11804.02	Ej Spelad	1.00	 1
 2- 5	 4- 7	 0- 0	     9443.21	Ej Spelad	1.00	 1
 2- 5	 5- 7	 0- 0	     9443.21	Ej Spelad	1.00	 1
 2- 5	 6- 7	 0- 0	    11804.02	Ej Spelad	1.00	 1
 2- 5	 7- 6	 0- 0	    11384.70	Ej Spelad	1.00	 1
 2- 5	 8- 2	 0- 0	    11384.70	Ej Spelad	1.00	 1
 2- 5	 8- 4	 0- 0	    13661.64	Ej Spelad	1.00	 1
 2- 7	 1- 2	 0- 0	    10015.53	Ej Spelad	1.00	 1
 2- 7	 2- 1	 0- 0	    10625.72	Ej Spelad	1.00	 1
 2- 8	 3- 6	 0- 0	    12018.64	Ej Spelad	1.00	 1
 2- 9	 3- 2	 0- 0	    14942.42	Ej Spelad	1.00	 1
 2- 9	 3- 3	 0- 0	     4523.44	Ej Spelad	1.00	 1
 2- 9	 3- 5	 0- 0	     9180.90	Ej Spelad	1.00	 1
 3- 0	 2- 2	 0- 0	     6910.71	Ej Spelad	1.00	 1
 3- 0	 3- 3	 0- 0	     6046.88	Ej Spelad	1.00	 1
 3- 0	 3- 4	 0- 0	    10041.48	Ej Spelad	1.00	 1
 3- 0	 3- 5	 0- 0	    12272.92	Ej Spelad	1.00	 1
 3- 0	 4- 3	 0- 0	    11836.94	Ej Spelad	1.00	 1
 3- 0	 4- 6	 0- 0	    12994.85	Ej Spelad	1.00	 1
 3- 0	 6- 4	 0- 0	    13316.56	Ej Spelad	1.00	 1
 3- 1	 1- 2	 0- 0	    10041.48	Ej Spelad	1.00	 1
 3- 1	 1- 5	 0- 0	    13807.03	Ej Spelad	1.00	 1
 3- 1	 2- 1	 0- 0	    10653.25	Ej Spelad	1.00	 1
 3- 1	 2- 2	 0- 0	     3455.36	Ej Spelad	1.00	 1
 3- 1	 2- 3	 0- 0	     7889.73	Ej Spelad	1.00	 1
 3- 1	 2- 5	 0- 0	    13807.03	Ej Spelad	1.00	 1
 3- 1	 3- 2	 0- 0	     9987.42	Ej Spelad	1.00	 1
 3- 1	 3- 3	 0- 0	     3023.44	Ej Spelad	1.00	 1
 3- 1	 3- 4	 0- 0	     5020.74	Ej Spelad	1.00	 1
 3- 1	 3- 5	 0- 0	     6136.46	Ej Spelad	1.00	 1
 3- 1	 3- 6	 0- 0	    10041.48	Ej Spelad	1.00	 1
 3- 1	 4- 2	 0- 0	    14527.16	Ej Spelad	1.00	 1
